Frequency (GHz), S1:1 (dB), S1:1 (rad)
7.225265180117165231e-01,-5.043103039765846817e-04,-1.637761746022577958e-01
7.257377469806574055e-01,-5.131074937280622915e-04,-1.645163065017361259e-01
7.289489759495983989e-01,-5.235622536008329190e-04,-1.652565520330482318e-01
7.321602049185393923e-01,-5.352713731963998139e-04,-1.659968278883469650e-01
7.353714338874803857e-01,-5.475129270538674816e-04,-1.667370842254362329e-01
7.385826628564212681e-01,-5.594314067068325907e-04,-1.674773190682377622e-01
7.417938918253621505e-01,-5.702629085182905292e-04,-1.682175800932048382e-01
7.450051207943031439e-01,-5.795392252388625095e-04,-1.689579530919322614e-01
7.482163497632441373e-01,-5.872147303023012369e-04,-1.696985401147000361e-01
7.514275787321851308e-01,-5.936809786962129066e-04,-1.704394332031206605e-01
7.546388077011261242e-01,-5.996650722421750096e-04,-1.711806908686923645e-01
7.578500366700671176e-01,-6.060401562211293128e-04,-1.719223236995498783e-01
7.610612656390080000e-01,-6.136006461903785025e-04,-1.726642928986739933e-01
7.642724946079489934e-01,-6.228639823238314114e-04,-1.734065219172399586e-01
7.674837235768899868e-01,-6.339523100730530807e-04,-1.741489176978842923e-01
7.706949525458309802e-01,-6.465840568473443925e-04,-1.748913954338736643e-01
7.739061815147718626e-01,-6.601738398264861418e-04,-1.756338999206148721e-01
7.771174104837127450e-01,-6.740087211700020002e-04,-1.763764177388520704e-01
7.803286394526537384e-01,-6.874483084394401216e-04,-1.771189772929339656e-01
7.835398684215947318e-01,-7.000913416111604910e-04,-1.778616372918482846e-01
7.867510973905357252e-01,-7.118632822957465366e-04,-1.786044675488836497e-01
7.899623263594767186e-01,-7.230041454152290846e-04,-1.793475280315452169e-01
7.931735553284177120e-01,-7.339657826123612526e-04,-1.800908523434943953e-01
7.963847842973585944e-01,-7.452540339880401286e-04,-1.808344402396518391e-01
7.995960132662995878e-01,-7.572659198425015599e-04,-1.815782608854745184e-01
8.028072422352405813e-01,-7.701712615622973703e-04,-1.823222652737938043e-01
8.060184712041814636e-01,-7.838724811677588679e-04,-1.830664035113418187e-01
8.092297001731224571e-01,-7.980509903840520220e-04,-1.838106413828206054e-01
8.124409291420633394e-01,-8.122815270714864831e-04,-1.845549710512294495e-01
8.156521581110043329e-01,-8.261753597116974508e-04,-1.852994127738726571e-01
8.188633870799453263e-01,-8.395055838335541403e-04,-1.860440074417831213e-01
8.220746160488863197e-01,-8.522748560257874511e-04,-1.867888026579791194e-01
8.252858450178273131e-01,-8.647053107469405584e-04,-1.875338370531709764e-01
8.284970739867681955e-01,-8.771557792035685440e-04,-1.882791279949689589e-01
8.317083029557091889e-01,-8.899947160798196439e-04,-1.890246666617887150e-01
8.349195319246501823e-01,-9.034711486555745954e-04,-1.897704220232248884e-01
8.381307608935911757e-01,-9.176262300035723397e-04,-1.905163523765684985e-01
8.413419898625320581e-01,-9.322746667020714514e-04,-1.912624206523877712e-01
8.445532188314729405e-01,-9.470627245217961079e-04,-1.920086084866325093e-01
8.477644478004139339e-01,-9.615848865730267179e-04,-1.927549244383635896e-01
8.509756767693549273e-01,-9.755223376716847103e-04,-1.935014035821501222e-01
8.541869057382959207e-01,-9.887592181144120272e-04,-1.942480984329377769e-01
8.573981347072369141e-01,-1.001439274132978705e-03,-1.949950639061504010e-01
8.606093636761779075e-01,-1.013943992944278671e-03,-1.957423409130000236e-01
8.638205926451187899e-01,-1.026797721060343027e-03,-1.964899436463796445e-01
8.670318216140597833e-01,-1.040527949983927752e-03,-1.972378544868314543e-01
8.702430505830007768e-01,-1.055522811219340544e-03,-1.979860281086680274e-01
8.734542795519416591e-01,-1.071928544257975914e-03,-1.987344035334905612e-01
8.766655085208826526e-01,-1.089617123782593740e-03,-1.994829204513142995e-01
8.798767374898235349e-01,-1.108232367143711277e-03,-2.002315348660886341e-01
8.830879664587645284e-01,-1.127298607986223968e-03,-2.009802294113379184e-01
8.862991954277055218e-01,-1.146357047442563308e-03,-2.017290154210866215e-01
8.895104243966465152e-01,-1.165087121181095087e-03,-2.024779264722022243e-01
8.927216533655875086e-01,-1.183376022944621986e-03,-2.032270057980542222e-01
8.959328823345283910e-01,-1.201316966811263442e-03,-2.039762918571811079e-01
8.991441113034693844e-01,-1.219140217562780576e-03,-2.047258068278693388e-01
9.023553402724103778e-01,-1.237102826801569390e-03,-2.054755517394633024e-01
9.055665692413513712e-01,-1.255376321802967191e-03,-2.062255096879468952e-01
9.087777982102922536e-01,-1.273971981632949450e-03,-2.069756558479452224e-01
9.119890271792332470e-01,-1.292730607371133603e-03,-2.077259706726669597e-01
9.152002561481741294e-01,-1.311381880808214044e-03,-2.084764515279944608e-01
9.184114851171151228e-01,-1.329654509782437393e-03,-2.092271184268214290e-01
9.216227140860561162e-01,-1.347400150010370345e-03,-2.099780114055357638e-01
9.248339430549971096e-01,-1.364687637420031749e-03,-2.107291798360564627e-01
9.280451720239381030e-01,-1.381831765957220641e-03,-2.114806667211829860e-01
9.312564009928789854e-01,-1.399340614443292472e-03,-2.122324928857054760e-01
9.344676299618199788e-01,-1.417791269529829505e-03,-2.129846463219948194e-01
9.376788589307609723e-01,-1.437667634511264605e-03,-2.137370806157520842e-01
9.408900878997019657e-01,-1.459208207507781390e-03,-2.144897237323517558e-01
9.441013168686428481e-01,-1.482311454545621890e-03,-2.152424952770423117e-01
9.473125458375837304e-01,-1.506531296142702998e-03,-2.159953276273442746e-01
9.505237748065247239e-01,-1.531169493531863790e-03,-2.167481849308480479e-01
