Frequency (GHz), Theta Pol: Theta=90.0 & Phi=180.0 (dBsm), Theta Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Einc - phase centered at ff origin), Phi Pol: Theta=90.0 & Phi=180.0 (dBsm), Phi Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Einc - phase centered at ff origin)
1.541389921425857068e+00,-3.917413664925312844e+01,-1.589907637563866105e+00,-1.876628801664013508e+02,-1.346121136206281710e+00
1.560657295443680148e+00,-3.896268597784793997e+01,-1.590935907032704932e+00,-1.874595801306206795e+02,-1.412882756403106566e+00
1.579924669461503228e+00,-3.875401357034991179e+01,-1.591997787153152544e+00,-1.872802371057923665e+02,-1.479049911852661880e+00
1.599192043479326530e+00,-3.854805999581219567e+01,-1.593093836191761925e+00,-1.871218080635528906e+02,-1.544436027781695087e+00
1.618459417497149611e+00,-3.834476821860266682e+01,-1.594224621286105981e+00,-1.869807491377761721e+02,-1.609014063685444640e+00
1.637726791514972913e+00,-3.814408354628993436e+01,-1.595390720807853935e+00,-1.868536390217427652e+02,-1.672924874575475895e+00
1.656994165532796215e+00,-3.794595358707208277e+01,-1.596592723290381377e+00,-1.867377720693589538e+02,-1.736454128049249812e+00
1.676261539550619295e+00,-3.775032820151210444e+01,-1.597831223280021584e+00,-1.866316017742023803e+02,-1.799981711090627101e+00
1.695528913568442597e+00,-3.755715943719953032e+01,-1.599106815235586510e+00,-1.865349389498557287e+02,-1.863914096933782849e+00
1.714796287586265899e+00,-3.736640144142461395e+01,-1.600420087034881700e+00,-1.864488638542178762e+02,-1.928614652455968415e+00
1.734063661604088979e+00,-3.717801035423737233e+01,-1.601771614655621123e+00,-1.863753815335587944e+02,-1.994347215539868712e+00
1.753331035621912282e+00,-3.699194419045774396e+01,-1.603161959201512943e+00,-1.863169090654521938e+02,-2.061244187839482489e+00
1.772598409639735362e+00,-3.680816272277044732e+01,-1.604591666765577962e+00,-1.862757121671085372e+02,-2.129303677638032966e+00
1.791865783657558664e+00,-3.662662737820177483e+01,-1.606061270851444345e+00,-1.862534031873380513e+02,-2.198413546349058389e+00
1.811133157675381966e+00,-3.644730115716727425e+01,-1.607571296413364603e+00,-1.862505838892588201e+02,-2.268395484762900871e+00
1.830400531693205046e+00,-3.627014857887108690e+01,-1.609122264192119456e+00,-1.862666801355918551e+02,-2.339059929996570197e+00
1.849667905711028348e+00,-3.609513565064709439e+01,-1.610714694002651770e+00,-1.862999819038086571e+02,-2.410262103874346362e+00
1.868935279728851651e+00,-3.592222985350247200e+01,-1.612349105958360118e+00,-1.863478731520837357e+02,-2.481949889601666737e+00
1.888202653746674731e+00,-3.575140013300236319e+01,-1.614026019194577888e+00,-1.864072093523438696e+02,-2.554195345751808066e+00
1.907470027764498033e+00,-3.558261688443185733e+01,-1.615745948318491720e+00,-1.864747745906277601e+02,-2.627203682015094355e+00
1.926737401782321113e+00,-3.541585192380746605e+01,-1.617509398387944941e+00,-1.865477290731672610e+02,-2.701296970601783531e+00
1.946004775800144415e+00,-3.525107844097789211e+01,-1.619316859561852118e+00,-1.866239509575648299e+02,-2.776874709763693438e+00
1.965272149817967717e+00,-3.508827093644939055e+01,-1.621168802592292790e+00,-1.867021926818859185e+02,-2.854358581422990593e+00
